,LIR,LPeak,errLPeak,errLIR
311,15636949421.647861,142.56955394797276,6.048762687464074,1015492563.355715
312,15159065477.55143,133.55040159408946,5.067679826515564,850013192.4259301
313,21666543496.58414,146.55973454569963,6.8619556031341284,1263282436.3987787
314,286121493866.6842,90.01967869533682,5.445319999542863,16449698072.113926
315,36259792693.470894,140.4344003752483,5.458399036926804,1812985980.5633733
316,138482293428.75537,117.41181609184622,5.787997903150662,6834825282.304335
317,22672218919.746243,133.72757009470783,4.89395673348336,1111088099.3382113
318,142822620847.25522,98.3165896832374,6.973219227502821,7249304715.798762
319,24488472503.536613,137.60675057176744,5.010953378970285,1190341171.0502174
320,17607758313.742393,138.07797142833496,5.036281168847782,885427120.6036631
321,26234361644.121506,152.08775030342136,5.864323993768504,1442404609.4307597
322,676153536885.8262,100.79894844433873,4.7543762714259845,41803162275.55329
323,93467939295.49066,133.41783298421626,5.352509577105453,4499028462.361568
324,14025130338.164352,132.36668422766488,5.270464768615037,715609037.5214506
325,58935554994.62326,121.95740674340382,5.8493795022787065,2846832969.0619283
326,444593417267.5702,116.69821471500569,5.428956919586761,22665805564.061832
327,42640197536.637764,138.79088514269392,5.257239904250093,2024944492.118664
328,15483437002.368889,133.5061827949811,5.894827379487301,799421661.0140828
329,24156369197.47071,148.22995075702582,4.752008896803776,1233573513.9575167
330,154610736593.00232,113.54351415121134,5.160253949429424,8007106395.940633
331,16577337836.495895,134.21721611819933,5.385364654734324,823504248.6773151
332,14911309694.666561,132.54072395191358,5.032321118573537,715893695.9602515
333,31173874256.12449,143.0754394650017,6.592295685013564,2035535900.5421019
334,24523334346.335213,134.7554812888274,6.299219499211734,1368573308.2126815
335,144451997470.09802,114.44587631815692,6.024307296065789,7649347003.658334
336,143217258886.69583,124.78816784843434,5.313586155636606,9091706494.76346
337,167202179563.01483,100.64798468509642,4.950240926234263,8243733281.6601
338,41103183580.93116,142.21755739304325,5.5795998722368925,2174002818.4403706
339,35892017602.99078,132.45364691919926,5.096520530066357,2150703364.128243
340,28983304604.487583,124.32644799693655,5.246817377351845,1710477811.1533904
341,51038150338.1247,119.46421616765474,5.431838036449373,2624481253.4060335
342,69893810074.07767,127.02901146586804,5.46204954445876,3759527233.9012356
343,114519899836.51477,107.3324579531614,5.419311540537236,6062369532.795449
344,21269047682.813026,125.99697097223745,6.590054926280257,1013959084.7087299
345,15240734994.293316,151.51625347357947,6.251996379722541,922037063.6694808
